"Year","Month","average_monthly_discharge","day","date"
2017,2,4120.35714285714,"01",2017-02-01
2017,3,4835.16129032258,"01",2017-03-01
2017,4,12395,"01",2017-04-01
2017,5,10685.1612903226,"01",2017-05-01
2017,6,3372.66666666667,"01",2017-06-01
2017,7,3727.74193548387,"01",2017-07-01
2017,8,2187.41935483871,"01",2017-08-01
2017,9,1656,"01",2017-09-01
2017,10,4417.09677419355,"01",2017-10-01
2017,11,4917.66666666667,"01",2017-11-01
2017,12,3013.87096774194,"01",2017-12-01
2018,1,4514.1935483871,"01",2018-01-01
2018,2,4191.78571428571,"01",2018-02-01
2018,3,4554.51612903226,"01",2018-03-01
2018,4,8137,"01",2018-04-01
2018,5,6963.54838709677,"01",2018-05-01
2018,6,1860.33333333333,"01",2018-06-01
2018,7,2197.41935483871,"01",2018-07-01
2018,8,2517.74193548387,"01",2018-08-01
2018,9,2148,"01",2018-09-01
2018,10,2553.87096774194,"01",2018-10-01
2018,11,5180.33333333333,"01",2018-11-01
2018,12,4391.61290322581,"01",2018-12-01
2019,1,4475.8064516129,"01",2019-01-01
2019,2,5196.42857142857,"01",2019-02-01
2019,3,5079.03225806452,"01",2019-03-01
2019,4,14513.6666666667,"01",2019-04-01
2019,5,10349.0322580645,"01",2019-05-01
2019,6,3808.66666666667,"01",2019-06-01
2019,7,2459.03225806452,"01",2019-07-01
2019,8,1679.35483870968,"01",2019-08-01
2019,9,1576,"01",2019-09-01
2019,10,3323.87096774194,"01",2019-10-01
2019,11,3602.66666666667,"01",2019-11-01
2019,12,3869.03225806452,"01",2019-12-01
2020,1,4298.38709677419,"01",2020-01-01
2020,2,3662.06896551724,"01",2020-02-01
2020,3,4669.35483870968,"01",2020-03-01
2020,4,9206.33333333333,"01",2020-04-01
2020,5,8034.83870967742,"01",2020-05-01
2020,6,2525.66666666667,"01",2020-06-01
2020,7,4676.77419354839,"01",2020-07-01
2020,8,1916.12903225806,"01",2020-08-01
2020,9,1293.33333333333,"01",2020-09-01
2020,10,3081.61290322581,"01",2020-10-01
2020,11,2565.33333333333,"01",2020-11-01
2020,12,6693.22580645161,"01",2020-12-01
2021,1,3960,"01",2021-01-01
2021,2,2920,"01",2021-02-01
2021,3,4282.90322580645,"01",2021-03-01
2021,4,4600,"01",2021-04-01
2021,5,3633.87096774194,"01",2021-05-01
2021,6,1401.66666666667,"01",2021-06-01
2021,7,1639.35483870968,"01",2021-07-01
2021,8,1408.38709677419,"01",2021-08-01
2021,9,1597.66666666667,"01",2021-09-01
2021,10,1685.09677419355,"01",2021-10-01
2021,11,2901.33333333333,"01",2021-11-01
2021,12,2537.41935483871,"01",2021-12-01
